id,match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
1,1,1,Royal Challengers Bangalore,Punjab Kings,1,1,Hardik Sharma,Faf Khan,Rishabh Williamson,0,0,0,0,0,0,0,0,0,,,
2,1,1,Royal Challengers Bangalore,Punjab Kings,1,2,KL Williamson,Rishabh Dhoni,Rishabh Sharma,0,0,0,0,0,0,4,0,4,,,
3,1,1,Royal Challengers Bangalore,Punjab Kings,1,3,Faf Khan,Rishabh Dhoni,KL Boult,0,0,0,0,0,0,0,0,0,,,
4,1,1,Royal Challengers Bangalore,Punjab Kings,1,4,Hardik Sharma,Jos Jadeja,Rishabh Sharma,0,0,0,0,0,0,0,0,0,,,
5,1,1,Royal Challengers Bangalore,Punjab Kings,1,5,KL Williamson,Faf Khan,Rishabh Sharma,0,1,0,0,0,0,3,1,4,,,
6,1,1,Royal Challengers Bangalore,Punjab Kings,1,5,Hardik Sharma,Rishabh Dhoni,Rishabh Sharma,0,1,0,0,0,0,0,1,1,,,
7,1,1,Royal Challengers Bangalore,Punjab Kings,1,5,Jos Jadeja,Hardik Sharma,Yuzvendra Samson,0,0,0,0,0,0,1,0,1,,,
8,1,1,Royal Challengers Bangalore,Punjab Kings,1,6,KL Williamson,Rishabh Dhoni,KL Boult,0,0,0,0,0,0,5,0,5,,,
9,1,1,Royal Challengers Bangalore,Punjab Kings,2,1,KL Williamson,Hardik Sharma,Yuzvendra Samson,0,0,0,0,0,0,0,0,0,,,
10,1,1,Royal Challengers Bangalore,Punjab Kings,2,2,Rishabh Dhoni,Hardik Sharma,KL Boult,0,0,0,0,1,0,1,1,2,,,
11,1,1,Royal Challengers Bangalore,Punjab Kings,2,2,Jasprit Buttler,Hardik Sharma,KL Boult,0,0,0,0,0,0,1,0,1,,,
12,1,1,Royal Challengers Bangalore,Punjab Kings,2,3,Jasprit Buttler,Jos Jadeja,Rishabh Sharma,0,0,1,0,0,0,2,1,3,,,
13,1,1,Royal Challengers Bangalore,Punjab Kings,2,4,Faf Khan,Jos Jadeja,Rishabh Williamson,0,0,0,1,0,0,4,1,5,,,
14,1,1,Royal Challengers Bangalore,Punjab Kings,2,5,Faf Khan,KL Williamson,KL Boult,0,0,0,0,0,0,0,0,0,,,
15,1,1,Royal Challengers Bangalore,Punjab Kings,2,6,Rishabh Dhoni,Faf Khan,Rishabh Williamson,0,0,0,0,0,0,2,0,2,,,
16,1,1,Royal Challengers Bangalore,Punjab Kings,3,1,Jos Jadeja,Hardik Sharma,Rishabh Williamson,0,0,1,0,0,0,0,1,1,Jos Jadeja,caught,KL Williamson
17,1,1,Royal Challengers Bangalore,Punjab Kings,3,2,Faf Khan,Rishabh Dhoni,Yuzvendra Samson,0,0,0,0,0,0,0,0,0,,,
18,1,1,Royal Challengers Bangalore,Punjab Kings,3,3,Jasprit Buttler,Faf Khan,Yuzvendra Samson,0,0,0,0,0,0,0,0,0,,,
19,1,1,Royal Challengers Bangalore,Punjab Kings,3,4,Jos Jadeja,Faf Khan,Rishabh Williamson,0,0,0,0,0,0,3,0,3,,,
20,1,1,Royal Challengers Bangalore,Punjab Kings,3,5,Jasprit Buttler,Hardik Sharma,KL Boult,0,0,0,0,0,0,5,0,5,,,
21,1,1,Royal Challengers Bangalore,Punjab Kings,3,6,Faf Khan,Rishabh Dhoni,Yuzvendra Samson,0,0,0,1,0,0,4,1,5,,,
22,1,1,Royal Challengers Bangalore,Punjab Kings,4,1,Jos Jadeja,Hardik Sharma,Rishabh Williamson,0,0,0,0,0,0,3,0,3,,,
23,1,1,Royal Challengers Bangalore,Punjab Kings,4,2,Jos Jadeja,KL Williamson,Rishabh Sharma,0,0,0,0,0,0,0,0,0,,,
24,1,1,Royal Challengers Bangalore,Punjab Kings,4,3,Jos Jadeja,KL Williamson,Rishabh Williamson,0,0,0,0,0,0,1,0,1,,,
